indice,metodo,km_descricao,km_marco_m,distancia_eixo_m,area_m2,latitude,longitude
150,Apenas manual,6,6000,57.0,185.966436757184,-23.44941848452914,-46.7829445331043
151,Apenas manual,6,6000,315.9,739.044768913095,-23.44770085945527,-46.7863631410509
152,"Spider, Giro-Zero ou Trator com trincheira",6,6000,445.5,1169.91714837045,-23.44752003400897,-46.78806709498
153,Apenas manual,6,6000,67.5,172.506710043129,-23.44951148489214,-46.7829031396939
154,Apenas manual,6,6000,295.9,663.199861809327,-23.44780947408201,-46.7861998697327
155,Apenas manual,6,6000,245.9,267.475496231827,-23.44808572272681,-46.7857993682742
156,"Spider, Giro-Zero ou Trator com trincheira",6,6500,299.6,1913.61704475594,-23.45519536459867,-46.7864841762782
157,Apenas manual,6,6000,231.9,162.62600620647,-23.44809331374363,-46.7856001247942
158,"Spider, Giro-Zero ou Trator com trincheira",6,6000,97.5,4797.49461509734,-23.45141934499164,-46.7848178237862
159,"Spider, Giro-Zero ou Trator com trincheira",6,6000,167.1,406.801913411197,-23.44857351371362,-46.7852305319249
160,"Spider, Giro-Zero ou Trator com trincheira",6,5500,40.9,6220.97037178252,-23.44843678618362,-46.7819686750342
161,Apenas manual,6,7000,31.7,26406.7785618048,-23.45506182282104,-46.7907268951982
162,"Spider, com ancoragem",6,6000,54.0,68.9999999897263,-23.45009211932118,-46.7838221079083
163,Apenas manual,6,6000,130.5,299.804091321945,-23.44841138588109,-46.7844861417861
164,Apenas manual,6,6000,113.6,265.453676174812,-23.44848283893509,-46.7843231270994
165,Apenas manual,6,6000,46.8,637.492190004287,-23.44917878236391,-46.7827982807815
166,"Spider, Giro-Zero ou Trator com trincheira",6,6500,108.3,7621.49999982063,-23.45190866229954,-46.7884836433353
167,"Spider, Giro-Zero ou Trator com trincheira",6,6500,242.5,549.244470377281,-23.45367112116646,-46.7854477269005
168,"Spider, Giro-Zero ou Trator com trincheira",6,7000,56.4,1020.99999997157,-23.45448811476903,-46.7905601010856
169,Apenas manual,6,6000,137.7,163.969045261585,-23.4483385775827,-46.7845024789615
170,"Spider, Giro-Zero ou Trator com trincheira",6,6500,108.9,2722.41594545869,-23.45458375535271,-46.7885639610843
171,"Spider, com ancoragem",9,9000,112.0,486.499999972904,-23.47208650243216,-46.8019512622255
172,"Spider, com ancoragem",9,10000,71.8,98.2951117574291,-23.47826036028376,-46.8015649249877
173,Apenas manual,9,9000,103.1,257.864202270375,-23.47131102824429,-46.8016705496117
174,Apenas manual,9,10000,5.9,528.963388119224,-23.47875870354709,-46.8023271978347
175,Apenas manual,9,9000,21.5,137.186560754174,-23.47248288164705,-46.8011394149297
176,Apenas manual,9,10000,9.8,241.391041058875,-23.47867336319859,-46.8024656931082
177,Apenas manual,9,10000,6.6,799.144718896521,-23.48068281410699,-46.802723543255
178,Apenas manual,9,9500,116.2,248.331742208137,-23.47770750928091,-46.8010055365787
